Time (s),Motor Speed (RPM),Engine Speed (RPM),Throttle (%),Intake Temperature (C),Engine Coolant Temperature 1 (C),Engine Coolant Temperature 2 (C),Barometric Pressure (kpa),Fuel Trim,Fuel Consumption (g/min),Fuel Consumed (g),Expected BSFC (g/kW.hr),Actual BSFC (g/kW.hr),Expected Max Power (W),Bus Voltage (V),GCU Current (A),Battery Current (A),Power Generated (W),GCU Phase Current (A),Inverter Temperature (C),Target Fuel Pressure (bar),Fuel Pressure (bar),Fuel Pump Speed (RPM),Cooling Pump Speed (RPM), Fans On (qty), PWM Uptime (s)
4.04,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.14,0.4,0.36,22,0.00,23,3.1,3.0,0,2200,0,4
4.30,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.14,0.4,0.39,21,0.00,23,3.1,3.0,2,2489,0,5
4.54,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.14,0.4,0.39,22,0.00,23,3.1,3.0,0,2670,0,5
4.80,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.14,0.4,0.40,21,0.00,23,3.1,3.0,3,2907,0,5
5.04,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.14,0.4,0.41,21,0.00,23,3.1,3.0,0,3096,0,5
5.30,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.14,0.4,0.41,21,0.00,23,3.1,3.0,6,3316,0,6
5.68,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.13,0.4,0.41,21,0.00,23,3.1,3.0,0,3468,0,6
5.93,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.13,0.4,0.42,22,0.00,23,3.1,3.0,6,3720,0,6
6.19,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.13,0.4,0.42,21,0.00,23,3.1,3.0,0,3865,0,6
6.41,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.13,0.4,0.47,20,0.00,23,3.1,3.0,6,4086,0,7
6.63,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.13,0.4,0.46,20,0.00,23,3.1,3.0,0,4091,0,7
6.97,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.13,0.4,0.45,20,0.00,23,3.1,3.0,5,4089,0,7
7.04,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.13,0.4,0.47,20,0.00,23,3.1,2.9,0,4085,0,7
7.29,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.13,0.4,0.45,21,0.00,23,3.1,2.9,4,4082,0,8
7.54,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.13,0.4,0.44,21,0.00,23,3.1,2.9,0,4075,0,8
7.79,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.14,0.4,0.47,20,0.00,23,3.1,2.9,4,4066,0,8
8.04,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.14,0.4,0.45,20,0.00,23,3.1,2.9,0,4075,0,8
8.29,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.12,0.4,0.46,20,0.00,23,3.1,2.9,2,4072,0,9
8.54,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.12,0.4,0.44,20,0.00,23,3.1,2.9,0,4086,0,9
8.79,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.14,0.4,0.46,20,0.00,23,3.1,2.9,4,4066,0,9
9.04,0.0,0,5,37,26,27,100,0.00,-0.0,0,0,0,0.00,50.14,0.4,0.49,20,0.00,23,3.1,2.9,0,4080,0,9
