Time (s),Motor Speed (RPM),Engine Speed (RPM),Throttle (%),Intake Temperature (C),Engine Coolant Temperature 1 (C),Engine Coolant Temperature 2 (C),Barometric Pressure (kpa),Fuel Trim,Fuel Consumption (g/min),Fuel Consumed (g),Expected BSFC (g/kW.hr),Actual BSFC (g/kW.hr),Expected Max Power (W),Bus Voltage (V),GCU Current (A),Battery Current (A),Power Generated (W),GCU Phase Current (A),Inverter Temperature (C),Target Fuel Pressure (bar),Fuel Pressure (bar),Fuel Pump Speed (RPM),Cooling Pump Speed (RPM), Fans On (qty), PWM Uptime (s)
2.54,0.0,0,0,25,48,48,96,0.00,-0.0,0,0,0,0.00,0.00,0.0,0.00,0,0.00,0,3.1,0.8,0,5460,0,0
2.79,0.0,0,0,25,48,48,96,0.00,-0.0,0,0,0,0.00,0.00,0.0,0.00,0,0.00,0,3.1,0.8,0,5088,0,0
3.04,0.0,0,0,25,48,48,97,0.00,-0.0,0,0,0,0.00,0.00,0.0,0.00,0,0.00,0,3.1,0.8,2,5088,0,0
3.29,0.0,0,0,25,48,48,97,0.00,-0.0,0,0,0,0.00,0.00,0.0,0.00,0,0.00,0,3.1,0.8,0,5472,0,0
3.54,0.0,0,0,25,48,48,97,0.00,-0.0,0,0,0,0.00,0.00,0.0,0.00,0,0.00,0,3.1,0.8,0,5472,0,0
3.79,0.0,0,5,25,48,48,97,0.00,-0.0,0,0,0,0.00,0.00,-0.1,0.13,-0,0.00,0,3.1,0.8,0,5376,0,0
4.04,0.0,0,5,25,48,48,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.13,-1,0.00,30,3.1,0.8,1,5376,0,0
4.29,0.0,0,5,25,47,48,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.14,-1,0.00,30,3.1,0.8,1,5412,0,0
4.54,0.0,0,5,25,47,48,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.15,-2,0.00,30,3.1,0.8,2,5412,0,0
4.79,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.12,-3,0.00,30,3.1,0.8,1,4908,0,0
5.04,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.13,-3,0.00,30,3.1,0.8,2,4908,0,0
5.29,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.12,-4,0.00,30,3.1,0.8,0,4512,0,0
5.54,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.13,-5,0.00,30,3.1,0.8,0,4512,0,0
5.79,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.13,-6,0.00,30,3.1,0.8,0,5292,0,0
6.04,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.13,-6,0.00,30,3.1,0.8,0,5292,0,0
6.29,0.0,0,5,25,47,47,96,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.10,-6,0.00,30,3.1,0.8,0,5664,0,0
6.54,0.0,0,5,25,47,47,96,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.11,-6,0.00,30,3.1,0.8,0,5664,0,0
6.79,0.0,0,5,25,47,47,96,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.12,-6,0.00,30,3.1,0.8,0,5268,0,0
7.04,0.0,0,5,25,47,47,96,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.12,-6,0.00,30,3.1,0.8,0,5268,0,0
7.29,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.11,-6,0.00,30,3.1,0.8,0,5064,0,0
7.54,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.11,-5,0.00,30,3.1,0.8,0,5064,0,0
7.79,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.13,-6,0.00,30,3.1,0.8,0,4980,0,0
8.04,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.12,-6,0.00,30,3.1,0.8,1,4980,0,0
8.29,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.13,-5,0.00,30,3.1,0.8,0,5304,0,0
8.54,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.10,-6,0.00,30,3.1,0.8,0,5304,0,0
8.79,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.12,-6,0.00,30,3.1,0.8,1,5124,0,0
9.04,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.12,-5,0.00,30,3.1,0.8,3,5124,0,0
9.29,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.12,-5,0.00,30,3.1,0.8,2,4944,0,0
9.54,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.34,-0.1,0.12,-5,0.00,30,3.1,0.8,1,4944,0,0
9.79,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.15,-5,0.00,30,3.1,0.8,0,5124,0,0
10.04,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.16,-5,0.00,30,3.1,0.8,0,5124,0,0
10.29,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.15,-6,0.00,30,3.1,0.8,0,5256,0,0
10.54,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.16,-6,0.00,30,3.1,0.8,0,5256,0,0
10.79,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.15,-5,0.00,30,3.1,0.8,0,4812,0,0
11.04,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.16,-6,0.00,30,3.1,0.8,0,4812,0,0
11.29,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.15,-6,0.00,30,3.1,0.8,0,4908,0,0
11.54,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.15,-5,0.00,30,3.1,0.8,0,4908,0,0
11.79,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.15,-5,0.00,30,3.1,0.8,0,5040,0,0
12.04,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.16,-6,0.00,30,3.1,0.8,0,5040,2,0
12.29,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.15,-5,0.00,30,3.1,0.8,0,4752,0,0
12.54,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.14,-5,0.00,30,3.1,0.8,0,4752,1,0
12.79,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.15,-6,0.00,30,3.1,0.8,0,5208,1,0
13.04,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.16,-6,0.00,30,3.1,0.8,0,5208,1,0
13.29,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.16,-6,0.00,30,3.1,0.8,0,4920,1,0
13.54,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.33,-0.1,0.15,-6,0.00,30,3.1,0.8,0,4920,2,0
13.79,0.0,0,5,25,47,47,97,0.00,-0.0,0,0,0,0.00,48.32,-0.1,0.15,-5,0.00,30,3.1,0.8,0,5292,2,0
14.04,0.0,0,5,25,47,47,96,0.00,-0.0,0,0,0,0.00,48.32,-0.1,0.16,-6,0.00,30,3.1,0.8,0,5292,2,0
